id,Reviews,AspectTerms,OpinionTerms,Categories,Polarities
35,不错媳妇用着挺好的,_,自然,功效,正面
36,已经是第三瓶了，用了很自然，也不油腻，很清爽，下次还继续,_,挺好用,整体,正面
37,不错，挺好的，挺满意的，服务也非常好，很喜欢在**买东西。,_,一般般,整体,中性
38,用着舒服，补水效果也不错，价格实惠，以后还会光顾,_,还可以,整体,正面
39,好用，性价比很高,价格,不算贵,价格,正面
40,很温和的一款洗面奶，不紧崩，很好,小礼品,_,价格,正面
41,不错，很好，物超所值，**值得信赖！,_,不错,整体,正面
42,当天下单当天下午就收到货了，物流很快，看着还可以，质量吗要用了才晓得，到时追评,快递小哥,_,物流,正面
43,好评  **买东西速度快  有保证好评  **买东西速度快  有保证,_,很补水,功效,正面
44,小小一瓶，不过看起来还不错，使用以后再来追加,_,很好,整体,正面
45,不错哦。速度很快，~。以后就买****的了。,_,超值,价格,正面
46,很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。,_,很好用,整体,正面
47,买了就直接降价20，真的是差评差评，太坑了。,_,很好,整体,正面
48,刚收到货 还没用开始味道还好 到时在评论,遮暇功能,差一些,功效,负面
49,用了还不错，店家还送了两瓶卸妆水也很好哦,_,还不错,整体,正面
50,宝贝不错 经常在**买东西 品质有保障 而且经常做活动 物美价廉 不错不错！,包装,太随便了,包装,负面
51,快递挺快的，用了一片了，目前没有过敏,包装盒,没有,包装,负面
52,多次购买了，效果不错哦，价格便宜,_,很不好,整体,负面
53,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,_,非常的不好,整体,负面
54,很好用。还还送了1替换装。,_,垃圾,整体,负面
55,买完就降价啦 不开心,_,很是划算,价格,正面
56,用了半个月了才来评价一个字好好好，值得拥有。??,香味,淡淡的,气味,正面
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,_,喜欢,整体,正面
58,之前用的是她家另一款，用着不错，还推荐了同事，这次买这一款试试，希望好用，物流非常快，到山西一天,_,还不错,整体,正面
59,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！,_,很润,使用体验,正面
60,面膜包装很好，还多送的几片，,_,好推开,使用体验,正面
61,好用，一如既往的用这个牌子,_,还可以,整体,正面
62,很不错，香香抹了点在手上，感觉不错的，,_,很不错,整体,正面
63,超喜欢，感觉无比的高大上，点32个赞！满足我的超级少女心,_,挺好用的,整体,正面
64,是正品，一直在它家买,乳液,_,成分,中性
65,挺不错的，送了很多东西，婆婆妈一直用这个。,_,水水嫩嫩的,使用体验,正面
66,好用，卸妆效果非常好，用完会回购,物流,好快,物流,正面
67,很好，一直以来都是用的这款面膜！,_,挺好,整体,正面
68,一直选择****，现在感觉**的价格优势比不过~了，只剩下次日达还能安慰一下产品挺好用，老婆很满意,发货,很快,物流,正面
69,非常不错噢,活动,特别合算,价格,正面
70,面膜很好用，水分充足！,贴合,很好,使用体验,正面
71,是正品，一直信赖**，可以放心购买,精华,蛮多,成分,正面
72,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。,_,还不错,整体,正面
73,面膜比较补水，蛮好的,_,非常好,整体,正面
74,买一赠一，超值，看了一下，正好适合孩子的肤质使用，必须下手啊,_,挺好的,整体,正面
75,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉,_,很自然,功效,正面
76,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑,_,不油腻,使用体验,正面
77,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**,_,很清爽,使用体验,正面
78,用过***的还有一种，很好用，想试一试这一款,_,不错,整体,正面
79,发货迅速而且质量不错，已经是第二次购买了,_,挺好的,整体,正面
80,很好，很快，还会继续支持**。加油加油加油,_,挺满意的,整体,正面
81,真的很好用，很自然。不油腻，好推开。用了好多年了！,服务,非常好,服务,正面
82,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评,_,用着舒服,使用体验,正面
83,非常满意，非常喜欢，谢谢亲爱的卖家,补水效果,不错,功效,正面
84,好用又便宜 超级满意,价格,实惠,价格,正面
85,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,_,好用,整体,正面
86,非常非常的地，好用划算,性价比,很高,价格,正面
87,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！,_,很好,整体,正面
88,我用了没有过敏，挺好的,_,不紧崩,使用体验,正面
89,还没用，感觉挺好的。快递员很敬业。,_,很温和,使用体验,正面
90,好用，喜欢这个牌子,_,不错,整体,正面
91,很多次购买了，喜欢！哈哈哈哈哈哈??,_,很好,整体,正面
92,五星好评，快递和服务都好评,_,物超所值,整体,正面
93,发货速度快，质量还可以，下次有需要下次还来。,物流,很快,物流,正面
94,好用，服务态度好,_,还可以,整体,正面
95,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?,速度,快,物流,正面
96,产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞。,_,好评,整体,正面
97,一直以来都在用这个产品，补水效果非常不错！会继续支持！,_,小小,尺寸,负面
98,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,_,不错,整体,正面
99,**快递速度快，性价比不错，好。。。。。,速度,很快,物流,正面
100,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠,_,不错,整体,正面
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,_,很好,整体,正面
102,刚上脸有点假白 半小时后就自然了,_,还不错,整体,正面
103,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～,_,很喜欢,整体,正面
104,为**来买，还挺好用的。,_,差评,整体,负面
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,_,太坑了,整体,负面
106,好评，支持***，支持**的快递小哥，给快递小哥万个赞,味道,还好,气味,正面
107,在***买了好多单，划算！！！一直用***，趁双11多屯点东西！慢慢用！,_,还不错,整体,正面
108,昨天刚收到，看着不错，满意,_,很好,整体,正面
109,感觉还不错啊，和我的皮肤颜色相近，喜欢！,_,不错,整体,正面
110,一直在用***的面膜买了好多好多趟，用了几年快递特别快。爱你。,活动,_,价格,正面
111,还不错，稍有些粘腻,_,物美价廉,价格,正面
112,还可以，味道有种似曾相识,快递,挺快的,物流,正面
113,值得购买，物美价廉,_,没有过敏,使用体验,正面
114,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,价格,便宜,价格,正面
115,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！,_,不错,整体,正面
116,已收到货，多次购买了。我个人认为还OK。用完还会再来的,精华液量,非常足,成分,正面
117,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?,保湿效果,棒棒哒,功效,正面
118,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好,_,很好用,整体,正面
119,喜欢。很划算,降价,_,价格,负面
120,用过一瓶了，又买的，隔离保湿效果好，不干,_,不开心,整体,负面
121,高端霸气上档次，仔仔细细，超级喜欢，下次还回来购买！！！,_,好,整体,正面
122,这款卸妆水挺不错的，一直用这款,泡沫,少,使用体验,负面
123,很喜欢这个洗面奶。清洁太给力了。洗的很干净,清洗,很干净,功效,正面
124,不好用，骗人的,气味,优雅,气味,正面
125,东西不错，值得购买,发货,及时,物流,正面
126,用起可以，双十一买的很便宜,物流,非常快,物流,正面
127,整体描述：是***的回头客了，这次买的也很好,配送速度,很快,物流,正面
128,挺水润的，还挺亮白的，不错不错,_,挺好的,整体,正面
129,还可以，有2个替换的,_,五星好评,整体,正面
130,宝贝收到用了几天了，还可以啦，下次还会光顾,包装,很好,包装,正面
131,快递太给力了，晚上下的单，早上就到了，还送了2瓶小的卸妆水，可以出行方便携带啦，用了好用再来评价吧。,_,好用,整体,正面
132,第一次用这个牌子的护肤品，不知道怎么样，用用看效果怎么样吧，如果可以就继续回购，物流很快。,_,很不错,整体,正面
133,挺好的，便宜实惠，正好遇上做活动流存了好多货，东东也不错，以后还会继续回购的。,_,不错,整体,正面
134,颜色很正，好评！,_,超喜欢,整体,正面
135,很好便宜实惠支持**商城,_,无比的高大上,整体,正面
136,很不错，一直用这个牌子，比较放心，希望越做越好！,_,是正品,真伪,正面
137,昨天中午买的今天中午收到了，物流很快哦！第一次买，希望效果好用,_,挺不错的,整体,正面
138,洗面奶查了一下是正品，跟商家描述的差不多，最主要是便宜，买一送一很划算。以后买洗面奶就它了，给满分。,卸妆效果,非常好,功效,正面
139,紫色遮黄效果特别好，用完感觉气色都特别好,_,好用,整体,正面
140,很不错，擦得均匀服帖,_,很好,整体,正面
141,N次购买了，货真价实，好用,_,很满意,整体,正面
142,?速度好快呀，昨天晚上下的单，今天下午就到了。,_,挺好用,整体,正面
143,**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,_,非常不错,整体,正面
144,物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,水分,充足,成分,正面
145,已经用的第三瓶了，以前一直用的绿色，这次换了紫色，不过还是一如既往的好用啊。美白还可以遮暇，大大的赞,_,很好用,整体,正面
146,之前用的瓶装紫色的，不太适合我，这个很好用，喜欢，好评,_,是正品,真伪,正面
147,给媳妇买的，媳妇说很好值得拥有。,活动,_,价格,正面
148,效果真的一般，连续用了三天，皮肤早上起来都是很干的，,瓶子,很漂亮,包装,正面
149,东西正经不错，好东西和大家分享，希望你买了也会喜欢?,瓶口,没有密封口,包装,负面
150,清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦?,_,蛮好的,整体,正面
151,香香的的肌肤是***馈赠的,_,比较补水,功效,正面
152,这款面膜很好用不油腻感觉也好,_,超值,价格,正面
153,本人敏感肌一直用的都是***，用完不紧绷。,_,非常好用,整体,正面
154,这个面膜挺好用的,遮瑕效果,特别好,功效,正面
155,还可以，妈妈说好,_,不会掉粉,使用体验,正面
156,货收到了，快递很给力，一直用这款！,_,很滑,使用体验,负面
157,第一次买，还没有使用，期待效果，就是客服回复太慢了,_,不太适合,整体,负面
158,包装简陋，没有说明书。正品？？,发货,很快,物流,正面
159,味道清新，用着挺自然的,送货速度,很快,物流,正面
160,挺喜欢的品质，一直都很好用,快递小哥,很好,物流,正面
161,面膜很好，很补水，用完了还会在买,_,很好用,整体,正面
162,遮瑕效果：好多推荐这款的，买来试试，混干皮用下来有点干，加了精华再上脸好点，哑光质感，蛮好。,发货,迅速,物流,正面
163,面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意！,_,不错,整体,正面
164,很好吸收，遮瑕不适合，但是隔离效果，挺好的，保湿度，一般般，,_,很好,整体,正面
165,东西很好用哦,_,很快,物流,正面
166,慢慢的一箱子。哈哈，太赞了,_,不油腻,使用体验,正面
167,不错的面膜，还是买一赠一，用完还会再来购买！！！不错的一次购物！！,_,好推开,使用体验,正面
168,**送货超级快！还没用！是正品！以后还会购买的！,_,很自然,功效,正面
169,喜欢，喜欢，用完皮肤很润，也很好吸收，一直在这里买！,_,很好用,整体,正面
170,包装很好，面膜还可以吧！帮老妈买的。,_,好评,整体,正面
171,效果不错，下次在给我媳妇买。,_,好极了,整体,正面
172,很棒，买一送一，,_,喜欢,整体,正面
173,质量好，升级版不干燥。给个五星好评吧。,_,没毛病,整体,正面
174,根本卸不干净，脸上还有点痒,_,非常喜欢,整体,正面
175,防晒效果：还没有使用，囤货试试看,_,非常满意,整体,正面
176,上次买BB霜卖家送了两张面膜，觉得蛮好用的，就买了一些,_,超级满意,整体,正面
177,一直用的***，比较清爽，喜欢,_,好用,整体,正面
178,颜色好看，服务态度很好。物流快速。希望好用，下次再买。。。,_,便宜,价格,正面
179,还没有用，用过之后再来评价，信赖的**，一直很棒。。。。,_,真心不错,整体,正面
180,看起来不错,物流,超快的,物流,正面
181,朋友给推荐的，很好用，隔离效果不错,_,滑滑的,使用体验,正面
182,蛮不错的，期待已久，看有活动秒下单?,_,非常舒服,使用体验,正面
183,很不错，清澈,_,好用,整体,正面
184,大姐让我帮着买的，我自己也在用，擦在脸上很自然，和皮肤很贴，脸也显得有光泽，很好！,_,划算,价格,正面
185,新包装样式也很喜欢,性价比,很高,价格,正面
186,双十一很划算，物流也很给力,_,不错的,整体,正面
187,非常不错，老客户了，他家保湿真的好，我还是容易过敏的皮肤，用他家的没事,_,没有过敏,使用体验,正面
188,卖家服务态度很好，宝贝很不错  物流也很快,_,挺好的,整体,正面
189,喜欢喜欢 特别补水 真的很耐斯～,快递员,很敬业,物流,正面
190,还么用，看着不错，期待效果，物流超级给力！,_,挺好的,整体,正面
191,感觉不错，下次买其他的试试?,_,好用,整体,正面
192,特别喜欢这个新包装的，很方便啦，一直用***的产品，这个卸妆水，用完不紧绷，很保湿的，继续支持,_,喜欢,整体,正面
193,不油腻，卸妆也很干净，双11活动买的，很划算,_,五星好评,整体,正面
194,一如既往的好用，忘记是第几次买了。,快递,好评,包装,正面
195,面膜很好用，**平台有保障，很补水，效果不错的。,服务,好评,服务,正面
196,不错，下次再来,发货,速度快,物流,正面
197,用起来了还可以，好评！,_,还可以,整体,正面
198,好用实惠，好用，值得购买，,服务态度,好,服务,正面
199,这次的面膜用着过敏了！一直都在用这个牌子！不知道为什么会过敏！,_,好用,整体,正面
200,用了，效果很好，白皙水嫩擦后脸上没有干粉。好评,_,还挺好的,整体,正面
201,洗面奶收到，今天用了，洗完后真的一点也不紧绷，超值了！,补水效果,很好,功效,正面
202,每天需要化妆，买了很多卸妆水都不行。只有这款卸妆水很好用，清爽不刺激。,快递小哥态度,很好,物流,正面
203,非常好用！！！特别补水，我干皮用着很不错,快递公司,给力,物流,正面
204,包装很高大尚！还没用，但看起来就很好。还送了化妆水，很喜欢！,快递小哥,点赞,物流,正面
205,收到马上试了一下，卸妆效果很好，很干净，但是不刺激皮肤，挺舒服的，脸也感觉滑滑的，很划算。,补水效果,非常不错,功效,正面
206,之前就用过这是第二次购买了！好用,快递,点个赞,物流,正面
207,很好用，喜欢哦,快递,超级快,物流,正面
208,做了功课才来买的，成分很安全，用了一片后感觉效果不错，以后要常用啦,质量,杠杠滴,其他,正面
209,拿回来用了几片，保温效果挺好的，第一次用皮肤也没有出现过敏现象。,_,很不错,整体,正面
210,赠品两贴，搜了一下9.9一贴，老价格来说应该不差,_,棒棒哒,整体,正面
211,还没用，用后再来追加，看着不错??,快递速度,快,物流,正面
212,这个是第二次买了，活动买很划算的，面膜也很好用,性价比,不错,价格,正面
213,物美价廉，味道不错。下次活动在买,价格,没有原来美好,价格,中性
214,物流快当晚就用了一片精华液很多，敷完脸嫩嫩的，不错！,_,很划算,价格,正面
215,还是有点白！擦的  所以我就只擦这个. 不用再擦bb了,_,一直棒棒,整体,正面
216,超好用淡淡的香味还送了面膜喜欢的朋友赶快入手吧,_,实惠,价格,正面
217,还没有用，等用过后再评价！包装太简陋了，连个像样的包装盒都没有！,_,很不错,整体,正面
218,不喜欢，感觉和洗头发的没有区别,_,很滋润,使用体验,正面
219,油,_,很水润,使用体验,正面
220,什么东西哦，太假了，忽悠人的哦，质量没有第一次买的好，这次购买是假货，太失望了。,价格,很实惠,价格,正面
221,量大便宜，赞,到货速度,很快,物流,正面
222,第一次敷  感觉不错  很水嫩还会购买,_,很满意,整体,正面
223,不错，效果很好，速度很快,_,有点假白,功效,负面
224,好用，值得购买，还有赠品，不错,_,超级好用,整体,正面
225,一下买了两份，挺好的，敷完水水嫩嫩的,_,便宜,价格,正面
226,好快呀！昨天下午订货，今天上午就到了，足足六大盒,_,挺好用的,整体,正面
227,很实惠！精华液特别多，但是用后效果一般，感觉不是很好吸收,活动,很划算,价格,正面
228,还没有上脸用 很小得一支 买之前看评论有送小样！收到之后什么赠品也没有 有点失望 总体来说还可以！！,清洁,很彻底,功效,正面
229,物流也快，实惠！物流也快，实惠！物流也快，实惠！物流也快，实惠！,泡沫,丰富,使用体验,正面
230,暂时还没开始用，等我用了再追加吧，看着包装还是挺不错的。,_,好用,整体,正面
231,趁活动囤的 冬天的面膜用的超费 不多长时间 面膜见底了,快递小哥,_,物流,正面
232,好评 不知道会不会过敏 敏感肌应该可以用,_,划算,价格,正面
233,还可以吧！觉得挺补水的，,_,不错,整体,正面
234,自己已经付了三片感觉跟实体店的比起来一样。价格比实体店的要便宜很多。,_,满意,整体,正面
235,几百块钱的产品里给我放个近期在里面  还说都是保质期三四年呢客服态度敷衍了事,_,还不错,整体,正面
236,宝贝收到了，之前买的还没用完，囤着，满意，还会回购,_,喜欢,整体,正面
237,我是混合型皮肤，买的清爽型，不油腻,_,颜色相近,功效,正面
238,这款面膜好用不贵，之前买护肤品送了几片，用过感觉挺补水的。,快递,特别快,物流,正面
239,第二次购买了，很温和。给朋友们推荐了，大家都说好用。就是没有礼盒包装，不开心,_,不错,整体,正面
240,非常好的商品，我很满意，值得购买好评，可以买。,_,有些粘腻,使用体验,负面
241,这是第三次买了保湿效果不错，这次还送了盒子，谢谢老板,_,还可以,整体,正面
242,挺好，买很多次了,_,物美价廉,价格,正面
243,不错不错  还送了两个独立包装,气味,很好闻,气味,正面
244,价格很优惠，质量特别好！,盒子,粉粉的,包装,正面
245,好用，滋润，喜欢,_,不错,整体,正面
246,用过之后再追评  之后有用一个送的体验装  感觉那个很好用,_,好用,整体,正面
247,用过一次这款隔离感觉我用的比别家比较适合我很喜欢这次继续回购,_,更优惠,价格,正面
248,帮朋友买的价格合算，送货速度很快。,_,还OK,整体,正面
249,东西挺好的，媳妇很喜欢,_,挺好用的,整体,正面
250,收到了，不错哟,活动,_,价格,正面
251,之前就用的***洗面奶 用着很好 不刺激皮肤 买一赠一也很实惠 满意,送货速度,很快,物流,正面
252,我是***专业户，品牌值得信赖，**值得信赖，产品物流都给力。,_,很好,整体,正面
253,水分不是很足，，，,_,喜欢,整体,正面
254,还可以，给老家买的，用了不错,_,很划算,价格,正面
255,洗面奶很好闻,隔离,好,功效,正面
256,质量不错哦，连续购买了好几套呢，服务态度很好,保湿效果,好,功效,正面
257,好用，温和的，洗完脸不紧绷，喜欢。,_,不干,使用体验,正面
258,好几百的东西包装好差像地滩货，产品还没使用,_,超级喜欢,整体,正面
259,用了两次，感觉挺好了，洗完脸上感觉很光滑，补水效果很不错，,_,挺不错的,整体,正面
260,其中有一片包装坏了，水漏的其他上面都是,_,很喜欢,整体,正面
261,挺好用，很滋润。也很自然。用了一段时间才来评的,清洁,太给力了,功效,正面
262,不好用  有点都不显白,_,很干净,使用体验,正面
263,速度一如既往的快。气垫使用方便，必备,_,不好用,整体,负面
264,很好用，家里人都用***，已经习惯，感觉还不错，挺适合自己的。,_,骗人的,整体,负面
265,是真东西，一直都在用,_,不错,整体,正面
266,用过多次，一直在这家买，气味淡淡的，很滋润,_,可以,整体,正面
267,粉扑设计的非常棒，盒子颜值很高。用了再来追评。,_,很便宜,价格,正面
268,宝贝收到了，物流速度，谢谢亲，快递真的快,_,很好,整体,正面
269,香香的，很润，挺好,_,不错,整体,正面
270,不是很好用，卸得不是很干净，虽然很大一瓶，可是卸不干净，浪费了，卸口红要卸很多次才可以,_,挺亮白的,功效,正面
271,第二次购买，好用用过肤色好好，**快！服务好！,_,挺水润的,使用体验,正面
272,和我在店里买的一样，价格还便宜，以后***就在你家买了，希望店家保持正品哦,_,还可以,尺寸,正面
273,还可以，就是没写敷面膜之后还洗脸不。,_,还可以,整体,正面
274,买给妈妈用，妈妈一直用这个，说很好,快递,太给力了,物流,正面
275,提好的东西，值得买。,物流,很快,物流,正面
276,挺好，泡沫丰富，洗的很干净,活动,_,价格,正面
277,还没用过，美白的那款洁面挺好的,_,挺好的,整体,正面
278,还不错，下次还可以考虑，推荐各位可以考虑。,_,便宜,价格,正面
279,很多泡泡，好用,_,实惠,价格,正面
280,我一直用这个很好,颜色,很正,功效,正面
281,因为***了解到***品牌，真的很不错，面膜很好用，乳液也很适合我，会回购的,_,好评,整体,正面
282,一直用的呢，非常好用，遮瑕效果很好，一次性买了两个隔离，一个bb，大爱,_,很好,整体,正面
283,和以前买的套装里的一样，很好用！,_,实惠,价格,正面
284,很好用，温和不刺激，清洁力也不错，好评,_,便宜,价格,正面
285,卸妆水收到了，很好用，卸妆效果很好，用后脸不紧绷！一直用***，相信**！,_,很不错,整体,正面
286,挺好闻的，不假白亮肤滋润，第一次买到那么好的隔离霜。,物流,很快,物流,正面
287,很好用很喜欢。效果挺好的，很贴皮肤用完还会买的,_,便宜,价格,正面
288,价格便宜活动给力，夏天防晒配卸妆，不错。,_,很划算,价格,正面
289,好用，不浮粉，下次还会购买，不错，,_,满分,整体,正面
290,很薄，挺补水的，就是买贵了，有买一赠一的活动,遮黄效果,特别好,功效,正面
291,自然，服帖,_,均匀,使用体验,正面
292,收到货，还没用，应该不错的，味道很好闻，哈,_,服帖,使用体验,正面
293,这个蛮好用的，轻薄也不油腻，看起来也蛮自然的。不过要选对水乳哦,_,很不错,整体,正面
294,不错哦，特别便宜，一直在用此宝贝，值得推荐，敷完很湿润，小姐姐们赶紧抢购吧,_,货真价实,整体,正面
295,赠的东西挺多的，,_,好用,整体,正面
296,还可以，遮瑕效果挺好，就是不保湿，用了皮肤好干,速度,好快,物流,正面
297,买了2次，感觉没以前好用了,精华素,满满,成分,正面
298,买给小女友的，反馈情况良好，使用无异常，喜欢这种东西&hellip,提亮,不错,功效,正面
299,买了好多次了 好用,保湿,不错,功效,正面
300,这包装的也是太随便了，面膜，装够数，然后用胶纸包一下，盒子也没个，一点也不值100多块钱的东西,物流,好快,物流,正面
301,**购物，物美价廉，用的放心，下次再来~,_,还不错,整体,正面
302,一直都在用，非常好用！！！,_,很水润,使用体验,正面
303,平时都是用这个牌子的，个人觉得这个适合冬天用，油而不腻。,_,好用,整体,正面
304,气垫还不错，轻薄不油腻，还送了两个替换装,_,遮暇,功效,正面
305,面膜很好用，一直都用这牌子子的，信赖**,_,美白,功效,正面
306,挺好的，很均匀,_,好评,整体,正面
307,收到了，第一次用，试了一下，挺好的，以后还会光顾,_,喜欢,整体,正面
308,挺好用的，不卡粉，用着很自然，可以维持一整天?喜欢?,_,很好用,整体,正面
309,卖家送的礼品超级喜欢 面膜二十贴放在里面刚刚好 再也不用担心面膜没地方放了 么么哒,_,很好,整体,正面
310,之前用的我姐的蓝色的，挺好用，就买的,_,一般,整体,负面
311,买了超级多，囤货中，赠送包包太好看了，装赠的旅行装很配套，喜欢！！,_,很干,使用体验,负面
312,非常好用，一直都用的这个牌子。,_,不错,整体,正面
313,还没用不知道怎么样，但是快递好快，昨天下午下单今天上午就到了,_,清爽,使用体验,正面
314,包装很满意，不过还没用,_,不错,功效,正面
315,一直用的***护肤品，这个面膜用完皮肤很滑嫩，不刺激,色泽,唯美,使用体验,正面
316,感觉防晒都是有点油,气味,甜美,气味,正面
317,一直在用这款，很好用，一直再复购,气味,光滑,使用体验,正面
318,给妈妈买的，妈妈很喜欢,_,香香的,气味,正面
319,还不错挺喜欢的,_,很好用,整体,正面
320,闻起来很好闻，效果用了才知道，应该不错，赠品很好很实在,_,不油腻,使用体验,正面
321,刚才试用一下，挺好，~扫出来是正品。推荐购买。,_,不紧绷,使用体验,正面
322,还没用，用了上次买化妆品送的，感觉还可以，就购买了,_,挺好用,整体,正面
323,不错哦。速度很快，~。以后就买****的了。,_,还可以,整体,正面
324,第二次购买了 好用 夏天必备,快递,很给力,物流,正面
325,**发货送货很快，服务态度很好，质量值得信赖，好评！,客服回复,太慢,服务,负面
326,用**白条买的，超实惠。第1次用***的气垫真的不错。用完了还会回购的。,包装,简陋,包装,负面
327,面膜好用，一直在用这个牌子的化妆品。,说明书,没有,包装,负面
328,朋友推荐的这款，第一次使用，很清爽保湿，有一点淡淡的香味，特别好闻,_,正品,真伪,负面
329,一直都在用这个，特别好用值得购买,味道,清新,气味,正面
330,宝贝收到了，活动促销买的，还没用，不知道效果如何，卖家发货比较慢，催了几次才发,_,挺自然的,功效,正面
331,质地柔软均匀，非常喜欢，还会再来点,_,挺喜欢的,整体,正面
332,客服态度很好尤其是这个汐曼,_,很好用,整体,正面
333,产品很好，啥赠品都没,_,很补水,功效,正面
334,隔离防晒霜正品，我己经用过了，很好用，非常适合干燥缺水的皮肤，用完以后皮肤水润白皙，很自然。,_,很好,整体,正面
335,用着还可以，挺好的,_,有点干,使用体验,负面
336,特价囤的，物流也快，符合预期,_,哑光质感,使用体验,正面
337,正品！ 和在屈臣氏的味道一样～不是很好闻～ 但是正常,_,蛮好,整体,正面
338,一大箱，能用很长一段时间了，价格实惠，两件八折，果断买两件，囤货。,包装,很好,包装,正面
339,只有一个塑封袋，也没有盒子感觉好假好假。真心觉得不开心,包装,没有破损,包装,正面
340,挺好的啊啊挺好的啊啊啊,快递人员服务态度,很好,物流,正面
